"date","pct_change","index"
2022-11-30,0.0832176201890951,108.32
2022-12-09,0.0511873974482877,113.87
2022-12-16,-0.0231500059117681,111.23
2022-12-23,0.0915085165383928,121.41
2022-12-31,-0.0578675618765305,114.38
2023-01-06,-0.0507970308481496,108.57
2023-01-13,1.05061990179972,222.64
2023-01-20,-0.0375630698576264,214.28
2023-01-29,0.196365110824665,256.36
2023-02-05,0.0863751137988496,278.5
2023-02-12,-0.018605186995846,273.32
2023-02-19,0.0293775503659653,281.35
2023-02-23,-0.0691200467549483,261.9
2023-03-04,0.240052314629628,324.77
2023-03-11,0.0411577633176178,338.14
2023-03-19,0.0939006344661598,369.89
2023-03-24,0.0045174657660391,371.56
2023-04-02,0.0679156126835276,396.79
2023-04-09,-0.000144627905654665,396.74
2023-04-16,0.0621478941034432,421.39
2023-04-23,-0.0211717461605886,412.47
2023-04-29,0.0487812766672934,432.59
2023-05-07,0.0537329827714765,455.84
2023-05-14,0.0369069116739937,472.66
2023-05-21,0.00652899335239357,475.74
2023-05-28,0.373571427715029,653.47
2023-06-04,-0.0351292663475217,630.51
2023-06-11,0.04831430138738,660.98
2023-06-18,-0.044336524951346,631.67
2023-06-25,-0.0437988485543148,604
2023-07-02,-0.0342471359777939,583.32
2023-07-09,0.11434722694016,650.02
2023-07-16,0.0160117016810408,660.43
2023-07-23,-0.0965253453698005,596.68
2023-07-30,0.139416814409476,679.87
2023-08-06,-0.000185590294311329,679.74
2023-08-13,-0.0335629982328299,656.93
2023-08-20,-0.00121933651998156,656.13
2023-08-27,0.0926075926073209,716.89
2023-09-03,-0.00215511772743475,715.34
2023-09-10,-0.0188710062226899,701.84
2023-09-17,0.0446748601575655,733.2
2023-09-24,-0.0820782998959474,673.02
2023-10-01,0.0441047009255083,702.7
